"","x"
"1","NEDD4"
"2","HYAL1"
"3","HYAL2"
"4","FOXL2"
"5","PRR23A"
"6","PHLDA3"
"7","BPESC1"
"8","TP53"
"9","TGFB1"
"10","IL6"
"11","VEGFA"
"12","STAT3"
"13","VDR"
"14","CTNNB1"
"15","ERBB2"
"16","HIF1A"
"17","ADIPOQ"
"18","AKT1"
"19","SERPINE1"
"20","NFKB1"
"21","CXCL8"
"22","TERT"
"23","PTEN"
"24","TLR4"
"25","MTOR"
"26","IGF1"
"27","CCL2"
"28","MMP2"
"29","CCND1"
"30","HMGB1"
"31","IL17A"
"32","MET"
"33","CXCL12"
"34","ITGB1"
"35","FOXP3"
"36","SP1"
"37","AGER"
"38","CAV1"
"39","FGF2"
"40","CYP3A4"
"41","YAP1"
"42","TP63"
"43","CDKN1B"
"44","JUN"
"45","FN1"
"46","COL1A1"
"47","CASP8"
"48","SMAD3"
"49","FASLG"
"50","TGFBR2"
"51","CCN2"
"52","DPP4"
"53","HSPB1"
"54","TGFBR1"
"55","FOXM1"
"56","NRG1"
"57","ANXA2"
"58","RUNX2"
"59","FBN1"
"60","HSPA4"
"61","SMAD2"
"62","MC1R"
"63","MYD88"
"64","EGR1"
"65","FLNA"
"66","IL6R"
"67","POSTN"
"68","RUNX3"
"69","S100A4"
"70","HDAC2"
"71","MYH9"
"72","SKP2"
"73","HTRA1"
"74","FOS"
"75","ITGA2"
"76","IRF3"
"77","CYBB"
"78","TLR7"
"79","PDGFB"
"80","SMAD7"
"81","IRF5"
"82","ZEB2"
"83","IL37"
"84","HSPA9"
"85","SFRP1"
"86","TGFB3"
"87","JAK3"
"88","VCAN"
"89","PTBP1"
"90","COMP"
"91","WNT3A"
"92","TLR8"
"93","ACKR1"
"94","CXCR1"
"95","DKK3"
"96","PTN"
"97","RAPGEF3"
"98","GNAI1"
"99","HLA-DRB5"
"100","GAB1"
"101","SERPINB2"
"102","AKR1B10"
"103","MT2A"
"104","GNAI2"
"105","SFRP2"
"106","CASP6"
"107","TMSB4X"
"108","CMA1"
"109","ADRA1A"
"110","EIF3A"
"111","TLR6"
"112","HDGF"
"113","NR2F2"
"114","TRAF4"
"115","FBLN5"
"116","GNAI3"
"117","GDF9"
"118","TNFAIP6"
"119","ASAH1"
"120","MYH10"
"121","CTHRC1"
"122","MT1A"
"123","USP10"
"124","FOXF1"
"125","WNT10A"
"126","CDK11B"
"127","FXR1"
"128","LTBP2"
"129","CASP14"
"130","HOXA11"
"131","WNT2"
"132","FOSB"
"133","NLRC5"
"134","ADRA1B"
"135","ADRA1D"
"136","TM4SF1"
"137","PHLPP2"
"138","RSPO2"
"139","HSPB6"
"140","MT1G"
"141","GADD45GIP1"
"142","MT1F"
"143","CKLF"
"144","MT1X"
"145","TMEM88"
"146","SKOR1"
"147","GJA1"
"148","AHSG"
"149","TNF"
"150","MMP9"
"151","PPARG"
"152","CDKN1A"
"153","PIK3CA"
"154","IGF1R"
"155","SRC"
"156","PTK2"
"157","AGTR1"
"158","OPRM1"
"159","ITGAV"
"160","THBS1"
"161","BECN1"
"162","ABCC1"
"163","PPARD"
"164","POMC"
"165","COL1A2"
"166","PIK3CG"
"167","SNAI2"
"168","CCNA2"
"169","AGTR2"
"170","DIABLO"
"171","ACTA2"
"172","TUG1"
"173","SMAD1"
"174","KCNN4"
"175","PIEZO1"
"176","SPHK2"
"177","IL17RA"
"178","TGFB1I1"
"179","SIRT7"
"180","CSMD1"
"181","THBS4"
"182","HOXB9"
"183","USP4"
"184","CHRFAM7A"
"185","GPR50"
"186","NREP"
"187","VPS39"
"188","ARGLU1"
"189","HYI"
"190","RPS4X"
"191","WASF1"
"192","EGFR"
"193","BRK1"
"194","ACE"
"195","IL10"
"196","PTGS2"
"197","MAPK1"
"198","HLA-B"
"199","BRCA2"
"200","NOTCH1"
"201","SPP1"
"202","TIMP1"
"203","MMP1"
"204","HGF"
"205","MAPK8"
"206","RAD51"
"207","PLAUR"
"208","SHH"
"209","TIMP2"
"210","ENG"
"211","S100A9"
"212","PDGFRB"
"213","AFP"
"214","CD34"
"215","TGFB2"
"216","ILK"
"217","S100A8"
"218","TNFRSF10B"
"219","CDH2"
"220","ELN"
"221","PAPPA"
"222","SERPINB5"
"223","TRPV4"
"224","THY1"
"225","BMP7"
"226","PTGS1"
"227","IL1RL1"
"228","SIRT6"
"229","DCN"
"230","WAS"
"231","ERN1"
"232","CDKN1C"
"233","TRPM7"
"234","SPI1"
"235","TRPA1"
"236","SOX10"
"237","WNT1"
"238","SELL"
"239","CTSK"
"240","TAC1"
"241","CXADR"
"242","MAPK9"
"243","GREM1"
"244","FGF7"
"245","WASF2"
"246","SCN2A"
"247","FST"
"248","DDB2"
"249","CSPG4"
"250","SKI"
"251","TPSAB1"
"252","ABI1"
"253","VPS35"
"254","EBAG9"
"255","SRA1"
"256","LUM"
"257","CYSLTR1"
"258","WASF3"
"259","CYFIP1"
"260","HOXA5"
"261","PDE4A"
"262","MYOCD"
"263","PTPRZ1"
"264","FMOD"
"265","NCKAP1"
"266","SRSF5"
"267","CYFIP2"
"268","SCG2"
"269","BAMBI"
"270","ABI2"
"271","RGMA"
"272","C1QTNF6"
"273","ABI3"
"274","NCKAP1L"
"275","MEOX1"
"276","WASHC1"
"277","NEK4"
"278","PRRX2"
"279","NHSL1"
"280","MYH7"
"281","MYBPC3"
"282","FLNC"
"283","TNNT2"
"284","MYH6"
"285","TNNI3"
"286","TPM1"
"287","ACTC1"
"288","MYL2"
"289","TTN"
"290","PRKAG2"
"291","MYL3"
"292","COL7A1"
"293","ATP7A"
"294","MIF"
"295","TAGLN"
"296","COL3A1"
"297","EIF5A"
"298","ACTRT2"
"299","HBD"
"300","RAN"
"301","COL5A1"
"302","PFN1"
"303","FGG"
"304","SFN"
"305","TPSB2"
"306","CAPG"
"307","CLIC1"
"308","MYL6B"
"309","CRABP1"
"310","LGALS1"
"311","S100A10"
"312","FTH1"
"313","PRDX2"
"314","FTL"
"315","ASPN"
"316","SERPINF1"
"317","ARHGDIA"
"318","PRDX1"
"319","FBF1"
"320","CNGA1"
"321","RBP3"
"322","LRAT"
"323","PDE6G"
"324","CNGB1"
"325","COL5A2"
"326","CA4"
"327","IMPDH1"
"328","NR2E3"
"329","MERTK"
"330","NEK2"
"331","PLOD1"
"332","BCS1L"
"333","ADAMTS2"
"334","ROM1"
"335","CLRN1"
"336","CRX"
"337","ARL6"
"338","PDE6A"
"339","RPE65"
"340","RLBP1"
"341","PRPF6"
"342","BEST1"
"343","CYP26C1"
"344","SAG"
"345","SEMA4A"
"346","MAK"
"347","SNRNP200"
"348","PRPF8"
"349","RGR"
"350","RDH12"
"351","DHDDS"
"352","GUCA1B"
"353","OFD1"
"354","IDH3B"
"355","PDE6B"
"356","RHO"
"357","ABCA4"
"358","ATP7B"
"359","CDHR1"
"360","EYS"
"361","RP1"
"362","IMPG2"
"363","FSCN2"
"364","CERKL"
"365","FAM161A"
"366","RPGR"
"367","PRPH2"
"368","TULP1"
"369","USH2A"
"370","ZNF513"
"371","NRL"
"372","PRPF31"
"373","TTC8"
"374","PRCD"
"375","RP2"
"376","CRB1"
"377","ARL2BP"
"378","RP9"
"379","SPATA7"
"380","KLHL7"
"381","PROM1"
"382","ECM1"
"383","TOPORS"
"384","PRPF3"
"385","IKBKG"
"386","TFAP2A"
"387","TFR2"
"388","SH3BP2"
"389","B4GALT7"
"390","B3GALT6"
"391","TERC"
"392","AGPAT2"
"393","BSCL2"
"394","HFE"
"395","FAH"
"396","PRDM5"
"397","ZNF469"
"398","ERCC8"
"399","GALT"
"400","GBE1"
"401","UROS"
"402","GATA1"
"403","ERCC6"
"404","NHP2"
"405","CHST14"
"406","DKC1"
"407","TALDO1"
"408","NOP10"
"409","TINF2"
"410","NPHP3"
"411","MPV17"
"412","WRAP53"
"413","POLG"
"414","KRT5"
"415","LAMB3"
"416","SFTPC"
"417","SLC25A13"
"418","LAMC2"
"419","HAMP"
"420","LAMA3"
"421","ATP8B1"
"422","COL17A1"
"423","KRT14"
"424","UROD"
"425","TNXB"
"426","PLEC"
"427","JAG1"
"428","ACVRL1"
"429","SMAD4"
